config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size
R шум σ×0.5,R,0.5,XGBoost,1,20260802,0.331,1.0,1.0,0.8212,0.6361,0.6745,0.6577,0.6938,0.8919,1.716
R шум σ×1.0,R,1.0,XGBoost,1,20260802,0.3082,1.0,1.0,0.9251,0.5499,0.6338,0.6551,0.6779,0.8564,1.735
R шум σ×1.5,R,1.5,XGBoost,1,20260802,0.2951,1.0,1.0,1.0,0.5211,0.6192,0.6678,0.6813,0.8057,1.699
R шум σ×2.0,R,2.0,XGBoost,1,20260802,0.3151,1.0,1.0,1.0,0.4844,0.6113,0.6532,0.6632,0.7889,1.753
D невозможный АМГ,D,0.1,XGBoost,1,20260802,0.3926,0.0,1.0,0.6938,0.7241,0.665,0.6537,0.0,0.902,1.726
D противоречие ИМТ,D,0.1,XGBoost,1,20260802,0.3878,0.0,1.0,0.683,0.7498,0.7317,0.6731,0.0,0.9122,1.681
D пропуск АМГ,D,0.2,XGBoost,1,20260802,0.3971,0.0,1.0,0.6419,0.7245,0.7353,0.6537,0.0,0.9122,1.72
D ошибка единиц,D,0.1,XGBoost,1,20260802,0.3758,0.0,1.0,0.7017,0.7241,0.696,0.6551,0.0,0.902,1.725
M0 эталон,—,0.0,XGBoost,0,20260803,0.3967,1.0,1.0,0.6706,0.7257,0.7402,0.6639,0.6993,0.9105,1.699
T утечка ρ=0.1,T,0.1,XGBoost,1,20260803,0.385,1.0,0.0,0.5188,0.7526,0.7034,0.6799,0.0,0.9071,1.66
T утечка ρ=0.3,T,0.3,XGBoost,1,20260803,0.4326,1.0,0.0,0.5426,0.7726,0.6987,0.7258,0.0,0.8953,1.574
T утечка ρ=0.5,T,0.5,XGBoost,1,20260803,0.5047,1.0,0.0,0.4449,0.8233,0.6711,0.7655,0.0,0.9155,1.485
T утечка ρ=0.7,T,0.7,XGBoost,1,20260803,0.6376,1.0,0.0,0.3737,0.8271,0.6284,0.7869,0.0,0.9409,1.431
T утечка ρ=0.9,T,0.9,XGBoost,1,20260803,0.8459,1.0,0.0,0.1242,0.9607,0.5644,0.9561,0.0,0.9662,1.088
F подмена η=0.1,F,0.1,XGBoost,1,20260803,0.3967,1.0,1.0,0.5982,0.7346,0.7402,0.6639,0.6817,0.9105,1.699
F подмена η=0.25,F,0.25,XGBoost,1,20260803,0.3967,1.0,1.0,0.5021,0.7333,0.7402,0.6639,0.6522,0.9105,1.699
F подмена η=0.5,F,0.5,XGBoost,1,20260803,0.3967,1.0,1.0,0.3296,0.7245,0.7402,0.6639,0.5853,0.9105,1.699
F подмена η=0.75,F,0.75,XGBoost,1,20260803,0.3967,1.0,1.0,0.1648,0.7302,0.7402,0.6639,0.4931,0.9105,1.699
F подмена η=1.0,F,1.0,XGBoost,1,20260803,0.3967,1.0,1.0,0.0133,0.7295,0.7402,0.6639,0.2629,0.9105,1.699
S доля=0.05,S,0.05,XGBoost,1,20260803,0.3491,1.0,1.0,0.6153,0.4765,0.5681,0.6529,0.5742,0.8581,1.725
S доля=0.1,S,0.1,XGBoost,1,20260803,0.3278,1.0,1.0,0.8436,0.5927,0.6651,0.7376,0.7037,0.8514,1.544
S доля=0.15,S,0.15,XGBoost,1,20260803,0.3237,1.0,1.0,0.6979,0.5591,0.6609,0.7041,0.6528,0.8361,1.623
S доля=0.25,S,0.25,XGBoost,1,20260803,0.3159,1.0,1.0,0.8094,0.5427,0.6569,0.6878,0.6674,0.853,1.657
S доля=0.4,S,0.4,XGBoost,1,20260803,0.3372,1.0,1.0,0.9098,0.5724,0.6469,0.6917,0.6948,0.8632,1.65
C инверсия η=0.05,C,0.05,XGBoost,1,20260803,0.3828,1.0,1.0,0.6317,0.7606,0.6039,0.7083,0.6733,0.8497,1.615
C инверсия η=0.1,C,0.1,XGBoost,1,20260803,0.3567,1.0,1.0,0.5483,0.8058,0.4453,0.7286,0.6153,0.8007,1.557
C инверсия η=0.2,C,0.2,XGBoost,1,20260803,0.3192,1.0,1.0,0.462,0.8483,0.2369,0.8148,0.5244,0.6655,1.372
