config,тип,уровень,алгоритм,defective,seed,macro_f1,conf_coverage,conf_set_size,D,T,F,S,C,R,V
D пропуск АМГ,D,0.2,RandomForest,1,20260803,0.4054,0.897,1.655,0.0,1.0,0.5997,0.7802,0.7027,0.6785,0.0
D ошибка единиц,D,0.1,RandomForest,1,20260803,0.3865,0.8885,1.723,0.0,1.0,0.615,0.7431,0.6545,0.6717,0.0
M0 эталон,—,0.0,RandomForest,0,20260804,0.4065,0.8834,1.6,1.0,1.0,0.6293,0.7612,0.7262,0.7075,0.7044
T утечка ρ=0.1,T,0.1,RandomForest,1,20260804,0.3874,0.9257,1.65,1.0,0.0,0.4322,0.8173,0.7097,0.6838,0.0
T утечка ρ=0.3,T,0.3,RandomForest,1,20260804,0.3975,0.9172,1.588,1.0,0.0,0.3771,0.8249,0.6594,0.7106,0.0
T утечка ρ=0.5,T,0.5,RandomForest,1,20260804,0.5108,0.9206,1.458,1.0,0.0,0.3318,0.8641,0.648,0.7779,0.0
T утечка ρ=0.7,T,0.7,RandomForest,1,20260804,0.5876,0.8936,1.296,1.0,0.0,0.312,0.8942,0.6257,0.8528,0.0
T утечка ρ=0.9,T,0.9,RandomForest,1,20260804,0.8995,0.9088,1.0,1.0,0.0,0.1528,0.9816,0.5532,1.0,0.0
F подмена η=0.1,F,0.1,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,0.5664,0.7612,0.7262,0.7075,0.686
F подмена η=0.25,F,0.25,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,0.472,0.7612,0.7262,0.7075,0.6555
F подмена η=0.5,F,0.5,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,0.3147,0.7612,0.7262,0.7075,0.5923
F подмена η=0.75,F,0.75,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,0.1573,0.7612,0.7262,0.7075,0.4981
F подмена η=1.0,F,1.0,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,0.0126,0.7612,0.7262,0.7075,0.2649
S доля=0.25,S,0.25,RandomForest,1,20260804,0.3682,0.9139,1.696,1.0,1.0,0.4312,0.7881,0.6153,0.6599,0.6095
S доля=0.4,S,0.4,RandomForest,1,20260804,0.3851,0.902,1.698,1.0,1.0,0.5148,0.778,0.6366,0.6641,0.6415
S доля=0.6,S,0.6,RandomForest,1,20260804,0.3759,0.8784,1.637,1.0,1.0,0.5872,0.7739,0.7117,0.6883,0.6869
S доля=0.8,S,0.8,RandomForest,1,20260804,0.3682,0.8885,1.61,1.0,1.0,0.6033,0.7723,0.7155,0.703,0.6958
C инверсия η=0.05,C,0.05,RandomForest,1,20260804,0.3868,0.9105,1.799,1.0,1.0,0.6206,0.7764,0.5762,0.6185,0.6437
C инверсия η=0.1,C,0.1,RandomForest,1,20260804,0.3723,0.8919,2.041,1.0,1.0,0.5611,0.8077,0.4348,0.5507,0.574
C инверсия η=0.2,C,0.2,RandomForest,1,20260804,0.3376,0.9274,2.524,1.0,1.0,0.4395,0.8578,0.2272,0.4352,0.4394
